game_id,date,season,week,league,away,home,extra_point,field_goal_yards,made_19,made_29,made_39,made_49,made_50,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,,,80.0,6.0,5.0,148.0,404.0,11.0,3.0,3.0,39.0,11.0,2.0,2.0
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,,,,,,,,,13.0,3.0,3.0,44.0,13.0,5.0,4.0
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,,,,,,,,50.0,3.0,3.0,55.0,147.0,6.0,2.0,2.0,33.0,6.0,2.0,
SYNTHETIC_USFL_2022_W1_HOU,,2022,1,USFL,,,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W2_HOU,,2022,2,USFL,,,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,2.0,,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W4_HOU,,2022,4,USFL,,,1.0,,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W5_HOU,,2022,5,USFL,,,2.0,,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W6_HOU,,2022,6,USFL,,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W7_HOU,,2022,7,USFL,,,3.0,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W8_HOU,,2022,8,USFL,,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W9_HOU,,2022,9,USFL,,,,,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W10_HOU,,2022,10,USFL,,,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,3.0,45.0,,,,,,1.0,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,2.0,,,,,,,,,,,,,,,,,,,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,4.0,44.0,,,,,,1.0,,,,,,,,,,,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,5.0,,,,,,,1.0,,,,,,,,,,,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,1.0,109.0,,,,,,,,,,,,,,,,,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,2.0,52.0,,,,,,1.0,,,,,,,,,,,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,1.0,49.0,,,,,,,,,,,,,,,,,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,171.0,,,,,,,,,,,,,,,,,,
