game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,pat_made,recv_td,rush_td,sacks,safeties,tackles
FOOTBALL_UFL_2025_4_6_SA@STL,2025-04-06,2025,2,UFL,SA,STL,,,,,,,,,,1.0,,,
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,,,,,,1.0,,,
FOOTBALL_UFL_2025_5_17_MEM@SA,2025-05-17,2025,8,UFL,MEM,SA,,,,,,,,,,1.0,,,
FOOTBALL_UFL_2025_5_24_STL@SA,2025-05-24,2025,9,UFL,STL,SA,,,,,,,,1.0,,1.0,,,
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0
FOOTBALL_UFL_2026_3_30_CLB@ORL,2026-03-30,2026,1,UFL,CLB,ORL,,,,,,,,,,2.0,,,
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,2.0
FOOTBALL_UFL_2026_4_11_ORL@LOU,2026-04-11,2026,3,UFL,ORL,LOU,,,,,,,,,1.0,,,,
FOOTBALL_NAL_2026_3_28_T573852G1127146@T566773,2026-03-28,2026,4,NAL,Louisiana Rouxgaroux,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0
FOOTBALL_NAL_2026_4_18_T581933G1127158@T573852,2026-04-19,2026,7,NAL,Dallas Bulls,Louisiana Rouxgaroux,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0
