game_id,date,season,week,league,away,home,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,30.0,5.0,6.0,50.0,91.0,9.0,1.0,9.0
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,16.0,1.0,4.0,11.0,16.0,,,
FOOTBALL_CFL_2022_8_11_TEN@BAL,2022-08-11,2022,1,CFL,TEN,BAL,1.0,1.0,2.0,12.0,4.0,5.0,14.0,31.0,22.0,1.0,22.0
FOOTBALL_CFL_2022_8_20_TB@TEN,2022-08-20,2022,1,CFL,TB,TEN,,,,,,,,,23.0,1.0,23.0
