game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,1.0,4.0,4.0,,1.0,,4.0,47.0,-9.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,,1.0,4.0,3.0,,1.0,,3.0,70.0,49.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,,4.0,2.0,,1.0,,2.0,60.0,8.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,2.0,2.0,,,,2.0,10.0,-10.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,1.0,2.0,2.0,1.0,,,2.0,6.0,31.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,,,2.0,1.0,,1.0,,1.0,33.0,5.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,,,9.0,8.0,,1.0,1.0,8.0,108.0,13.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,1.0,1.0,,,,1.0,6.0,9.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,2.0,1.0,,,,,,11.0,
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,,1.0,,,,1.0,,3.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,1.0,2.0,3.0,2.0,,1.0,,2.0,85.0,-2.0
