game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,field_goal_yards,forced_fumbles,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,patkick,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
4002611110441,,,4,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,3.0,84.0,5.0,0.0,0.0,,
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,0.0,0.0
FOOTBALL_AF1_2026_5_24_T584747G1168383@T612138,2026-05-25,2026,7,AF1,Kentucky Barrels,Oceanside Bombers,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,4.0
FOOTBALL_AF1_2026_5_30_T584747G1168388@T602555,2026-05-30,2026,8,AF1,Kentucky Barrels,Minnesota Monsters,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,1.0,3.0
