game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,pat_att,pat_made
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,,10.0,,,8.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,,13.0,,,10.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,3.0,2.0,59.0,2.0,1.0,12.0,3.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,2.0,41.0,,,12.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,1.5,39.0,,,9.0,,
