game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,26.0,1.0,26.0,4.0,3.0,29.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,4.0,31.0,12.0,,
