game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nasl-2016-2lqRjjnqr0,,2016,1,NASL,,,2.0,0.1021,15.7023,-0.0579,2.0,0.5772,4.0,13.0,1094.0,0.7189,249.0,-4.6324,-1.8604,0.8574,19.0,8.0,1.8979,1.4228,0.4007,3.3207,0.7375,0.7771
soccer-uslc-2017-kRQaeY8QKZ,,2017,1,USLC,,,0.0,-0.3258,16.3268,-2.6969,2.0,0.553,2.0,3.0,399.0,0.7857,84.0,0.6538,0.7784,0.5639,13.0,5.0,0.3258,1.447,-0.1577,1.7727,0.7779,0.6254
soccer-uslc-2018-XVqK23a501,,2018,1,USLC,,,5.0,2.5469,17.8976,3.7296,1.0,-1.2153,6.0,18.0,2325.0,0.7974,1007.0,19.3315,1.9197,0.4002,26.0,6.0,2.4531,2.2153,-0.5561,4.6684,0.7782,1.1634
soccer-uslc-2019-XVqK23a501,,2019,1,USLC,,,6.0,1.3353,17.7894,3.3946,3.0,1.3448,9.0,41.0,3306.0,0.81,1716.0,44.2686,2.5798,0.4093,24.0,5.0,4.6647,1.6552,0.0634,6.3199,0.7842,0.4255
soccer-uslc-2020-odMX7pAQYL,,2020,1,USLC,,,0.0,-1.0174,18.6358,4.849,0.0,-0.1654,0.0,9.0,1719.0,0.8435,850.0,26.9307,3.1683,0.0,3.0,1.0,1.0174,0.1654,0.3092,1.1828,0.8118,0.072
soccer-uslc-2021-0Oq6332Q6D,,2021,1,USLC,,,4.0,0.2592,16.9922,4.0192,1.0,-0.3847,5.0,26.0,2806.0,0.7943,1303.0,40.7914,3.1306,0.2144,21.0,7.0,3.7408,1.3847,-0.0504,5.1255,0.763,0.8169
soccer-uslc-2022-0Oq6332Q6D,,2022,1,USLC,,,0.0,-1.2043,18.4585,3.7421,1.0,-0.3393,1.0,14.0,2561.0,0.8231,1306.0,-0.0724,-0.0055,0.2464,10.0,4.0,1.2043,1.3393,-1.0177,2.5436,0.8232,0.7297
soccer-uslc-2023-9YqdojR5vJ,,2023,1,USLC,,,2.0,-1.2269,20.3134,6.0854,1.0,-0.1292,3.0,14.0,2111.0,0.8093,965.0,-2.598,-0.2692,0.0707,7.0,4.0,3.2269,1.1292,0.3941,4.3561,0.812,0.4193
soccer-uslc-2024-9YqdojR5vJ,,2024,1,USLC,,,0.0,-0.5729,22.3357,6.7693,1.0,0.3249,1.0,8.0,3046.0,0.8184,1443.0,-3.811,-0.2641,0.0069,7.0,3.0,0.5729,0.6751,0.4639,1.248,0.8211,0.4207
soccer-uslc-2025-9YqdojR5vJ,,2025,1,USLC,,,1.0,0.218,20.7447,4.9491,0.0,-0.7246,1.0,10.0,1716.0,0.8406,803.0,-4.0929,-0.5097,0.0,8.0,2.0,0.782,0.7246,-0.0788,1.5066,0.8457,0.35
soccer-uslc-2026-9YqdojR5vJ,,2026,1,USLC,,,0.0,0.0,8.8735,3.335,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.3144,15.7187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428,0.0
