game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,22.0,10.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.5,33.0,11.0,1.0,1.0,56.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,30.0,8.0,,,
