game_id,date,season,week,league,away,home,catches,completions,goals,throwAttempts,yardsReceived,yardsThrown
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,4.0,3.0,1.0,3.0,31.0,16.0
2023-07-22-POR-SEA,2023-07-22,2023,13,,POR,SEA,,2.0,,2.0,,20.0
