game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,0.5,48.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,0.5,43.0,11.0
