game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_num,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,59.0,6.0,7.0,,17.0,112.0,,,,,,,,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,21.0,7.0,9.0,1.0,13.0,89.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,33.0,4.0,7.0,,23.0,63.0,1.0,,,,,,,
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,32.0,3.0,5.0,,27.0,44.0,,,,,,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,,3.0,8.0,2.0,29.0,70.0,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,40.0,9.0,12.0,,65.0,106.0,,,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,60.0,10.0,15.0,,48.0,185.0,,,,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,21.0,9.0,11.0,1.0,73.0,111.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,6.0,9.0,3.0,24.0,141.0,,,,,,3.0,18.0,3.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,34.0,9.0,13.0,,26.0,107.0,,,,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,52.0,3.0,5.0,1.0,14.0,86.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,1.0,1.0,46.0,4.0,6.0,,38.0,81.0,,,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,20.0,10.0,11.0,,23.0,96.0,,,,,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,10.0,13.0,1.0,29.0,119.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,1.0,1.0,63.0,9.0,15.0,,66.0,152.0,,,,,,,,
