game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,60.0,25.0,2.0,2.0,354.0,,,29.0,1.0,149.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,8.0,268.0,131.0,9.0,10.0,1654.0,1.0,14.0,86.0,6.0,610.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,2.0,61.0,42.0,2.0,6.0,418.0,,,16.0,2.0,141.0
