game_id,date,season,week,league,away,home,assists,def_rebounds,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202405170MIN,2024-05-17,2024,1,WNBA,SEA,MIN,1.0,1.0,,,,,1.0,2.0,2.0,8.483333333333333,,4.0,2.0,1.0,1.0,
WNBA_202405230CON,2024-05-23,2024,1,WNBA,MIN,CON,2.0,1.0,,,,,,,,5.466666666666667,,1.0,,1.0,,2.0
WNBA_202405250MIN,2024-05-25,2024,1,WNBA,NYL,MIN,,,,,,,,,,1.8166666666666667,,-1.0,,,1.0,1.0
WNBA_202405310MIN,2024-05-31,2024,1,WNBA,PHO,MIN,2.0,,,,,1.0,,,,6.516666666666667,,2.0,,,,
WNBA_202406020MIN,2024-06-02,2024,1,WNBA,DAL,MIN,2.0,,0.667,3.0,2.0,1.0,,,,13.716666666666667,1.0,12.0,4.0,1.0,4.0,3.0
WNBA_202406050LAS,2024-06-05,2024,1,WNBA,MIN,LAS,3.0,2.0,,1.0,,1.0,,,,9.9,,7.0,,2.0,2.0,
WNBA_202406070PHO,2024-06-07,2024,1,WNBA,MIN,PHO,,,1.0,1.0,1.0,1.0,,,,5.716666666666667,,-1.0,2.0,,,1.0
WNBA_202406090MIN,2024-06-09,2024,1,WNBA,SEA,MIN,7.0,6.0,0.333,3.0,1.0,3.0,,,,14.133333333333333,2.0,13.0,2.0,8.0,1.0,
WNBA_202406110LVA,2024-06-11,2024,1,WNBA,MIN,LVA,,,,,,1.0,,,,2.9333333333333336,,-3.0,,,,1.0
WNBA_202406140MIN,2024-06-14,2024,1,WNBA,LAS,MIN,1.0,1.0,0.5,2.0,1.0,1.0,,,,7.583333333333333,,-1.0,2.0,1.0,,2.0
WNBA_202406190MIN,2024-06-19,2024,1,WNBA,ATL,MIN,2.0,1.0,,2.0,,,,,,7.183333333333334,,2.0,,1.0,2.0,1.0
WNBA_202406220MIN,2024-06-22,2024,1,WNBA,PHO,MIN,,,,,,,,,,4.616666666666667,1.0,-5.0,,1.0,,2.0
WNBA_202406270DAL,2024-06-27,2024,1,WNBA,MIN,DAL,1.0,1.0,,,,2.0,,,,4.366666666666666,,1.0,,1.0,,1.0
WNBA_202407020NYL,2024-07-02,2024,1,WNBA,MIN,NYL,1.0,,,,,,,,,0.8333333333333334,,2.0,,,,
WNBA_202407040MIN,2024-07-04,2024,1,WNBA,CON,MIN,2.0,,0.333,3.0,1.0,1.0,,,,6.783333333333333,2.0,5.0,2.0,2.0,2.0,1.0
WNBA_202408170WAS,2024-08-17,2024,1,WNBA,MIN,WAS,,,,,,1.0,,,,5.216666666666667,,-9.0,,,,
WNBA_202409190MIN,2024-09-19,2024,1,WNBA,LAS,MIN,2.0,,,1.0,,,,,,8.566666666666666,,-7.0,,,1.0,
WNBA_202409220MIN,2024-09-22,2024,1,WNBA,PHO,MIN,,,,,,,,,,0.15,,-2.0,,,,
WNBA_202409250MIN,2024-09-25,2024,1,WNBA,PHO,MIN,,,,,,1.0,,,,0.9666666666666667,,-4.0,,,,
WNBA_202410060CON,2024-10-06,2024,1,WNBA,MIN,CON,,,,,,,,,,0.7166666666666667,,,,,,
WNBA_202410130NYL,2024-10-13,2024,1,WNBA,MIN,NYL,,,,,,,,,,0.5833333333333334,,-2.0,,,,
