game_id,date,season,week,league,away,home,dst_touchdown,dst_touchdowns,fumble_recoveries,interceptions_lost,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W2_TOR,,2022,2,CFL,,,,,,,1.0,19.0,3.0
SYNTHETIC_CFL_2022_W3_TOR,,2022,3,CFL,,,,,,,0.0,44.0,1.0
SYNTHETIC_CFL_2022_W4_TOR,,2022,4,CFL,,,,,,,1.0,23.0,1.0
6232,2022-07-16,2022,6,CFL,SSK,TOR,,,,,3.0,24.0,5.0
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,,,1.0,21.0,1.0
6241,2022-07-31,2022,8,CFL,OTT,TOR,,,,,0.0,23.0,3.0
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,,,1.0,20.0,0.0
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,1.0,34.0,2.0
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,,3.0,22.0,0.0
6255,2022-08-26,2022,12,CFL,HAM,TOR,,,,,0.0,0.0,0.0
6260,2022-09-05,2022,13,CFL,TOR,HAM,,,,,0.0,0.0,0.0
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,,1.0,19.0,1.0
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,,5.0,15.0,3.0
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,,2.0,29.0,1.0
6277,2022-10-08,2022,18,CFL,BC,TOR,,,,,0.0,20.0,3.0
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,,,2.0,23.0,2.0
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,,1.0,23.0,5.0
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,2.0,14.0,2.0
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,1.0,31.0,6.0
9889297,2023-07-03,2023,4,CFL,BC,TOR,,2.0,,,6.0,24.0,3.0
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,,2.0,27.0,4.0
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,15.0,2.0
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,,,13.0,5.0
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,,,,20.0,2.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,31.0,5.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,31.0,3.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,28.0,5.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,10.0,2.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,20.0,5.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,,14.0,2.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,31.0,1.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,12.0,5.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,,,27.0,9.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,,26.0,2.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,,,,22.0,3.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,1.0,28.0,3.0
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,,,,0.0,29.0,3.0
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,,,,1.0,39.0,1.0
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,,,,1.0,16.0,5.0
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,,0.0,51.0,2.0
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,,,2.0,18.0,2.0
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,,,,1.0,26.0,0.0
10798046,2024-07-27,2024,8,CFL,WPG,TOR,,,,,2.0,17.0,1.0
10798051,2024-08-04,2024,9,CFL,TOR,CGY,,,,,3.0,40.0,5.0
10798053,2024-08-09,2024,10,CFL,CGY,TOR,,,,,0.0,46.0,2.0
SYNTHETIC_CFL_2024_W11_TOR,,2024,11,CFL,,,,,,,1.0,28.0,0.0
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,,1.0,34.0,2.0
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,,,,1.0,33.0,1.0
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,,0.0,41.0,0.0
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,,,0.0,30.0,5.0
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,,,,3.0,21.0,4.0
10798082,2024-09-28,2024,17,CFL,MTL,TOR,1.0,,,,3.0,27.0,1.0
SYNTHETIC_CFL_2024_W18_TOR,,2024,18,CFL,,,,,,,1.0,47.0,2.0
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,,,0.0,27.0,2.0
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,,,0.0,44.0,2.0
10798094,2024-10-25,2024,21,CFL,TOR,EDM,,,,,0.0,31.0,1.0
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,,,,1.0,28.0,3.0
11824051,2025-06-14,2025,2,CFL,CGY,TOR,,,,,,29.0,3.0
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,,1.0,39.0,1.0
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,,,,1.0,16.0,5.0
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,,,,,51.0,2.0
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,1.0,,1.0,26.0,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,,,,,1.0,17.0,1.0
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,,,,3.0,40.0,5.0
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,,,,,46.0,2.0
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,,,,1.0,28.0,
11824090,2025-08-23,2025,12,CFL,BC,TOR,,,,,1.0,34.0,2.0
11824093,2025-09-01,2025,13,CFL,TOR,HAM,,,,,1.0,33.0,1.0
11824101,2025-09-13,2025,15,CFL,EDM,TOR,,,,,,30.0,5.0
11824103,2025-09-19,2025,16,CFL,MTL,TOR,,,,,3.0,21.0,4.0
11824108,2025-09-26,2025,17,CFL,TOR,BC,,,,,3.0,27.0,1.0
11824112,2025-10-04,2025,18,CFL,HAM,TOR,,,,1.0,,47.0,2.0
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,,,,,27.0,2.0
11824121,2025-10-18,2025,20,CFL,TOR,CGY,,,,,,44.0,2.0
