game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2013-kRQabn8MKZ,,2013,1,MLS,,,0.0,-0.7906,16.2276,-2.2593,8.0,-0.4461,8.0,5.0,2003.0,0.7432,366.0,-8.387,-2.2915,4.7913,69.0,22.0,0.7906,8.4461,-1.3185,9.2368,0.7661,6.1388
soccer-mls-2014-X0Oq66zq6D,,2014,1,MLS,,,0.0,-0.1441,16.249,0.3278,3.0,1.5668,3.0,1.0,199.0,0.7857,28.0,-1.4733,-5.2618,3.6003,10.0,6.0,0.1441,1.4332,0.8255,1.5773,0.8383,1.2581
soccer-mls-2015-lgpMOvnQzy,,2015,1,MLS,,,0.0,0.0,17.7379,6.4232,2.0,1.0235,2.0,0.0,89.0,0.6316,19.0,-1.421,-7.4787,0.1426,4.0,3.0,0.0,0.9765,0.6023,0.9765,0.7064,0.082
