game_id,date,season,week,league,away,home,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2025_W4_BRAHMAS,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,8.0,1.0
SYNTHETIC_UFL_2025_W5_BRAHMAS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,,0.0,6.0,1.0
SYNTHETIC_UFL_2025_W6_BRAHMAS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,0.0,8.0,3.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,1.0,46.0,5.0
SYNTHETIC_UFL_2025_W8_BRAHMAS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,1.0,38.0,0.0,10.0,3.0
SYNTHETIC_UFL_2025_W10_BRAHMAS,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,8.0,2.0
SYNTHETIC_UFL_2026_W2_ORLANDOSTORM,2026-04-04,2026,2,UFL,LOUISVILLE KINGS,ORLANDO STORM,,,0.0,8.0,2.0
SYNTHETIC_UFL_2026_W4_ORLANDOSTORM,2026-04-18,2026,4,UFL,ORLANDO STORM,BIRMINGHAM STALLIONS,,,0.0,8.0,1.0
SYNTHETIC_UFL_2026_W5_ORLANDOSTORM,2026-04-25,2026,5,UFL,ST. LOUIS BATTLEHAWKS,ORLANDO STORM,,,0.0,0.0,0.0
SYNTHETIC_UFL_2026_W6_ORLANDOSTORM,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,0.0,28.0,1.0
