game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_yds,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,1.0,16.0,11.0,3.0,1.0,24.0,1.0,16.0,10.0,109.0,14.0,70.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,,,,,,,,,2.0,46.0,,
