game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_gp,recv_rec,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,,,,6.0,2.0,17.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,,,,5.0,1.0,16.0
SYNTHETIC_CFL_2022_W11_SSK,2022-08-19,2022,11,CFL,BC,SSK,0.0,8.0,2.0,,,
