game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,8.0,1.0,3.0,,,17.0,,48.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,3.0,14.0,,,1.0,21.0,80.0,4.0,332.0
