game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,,,,,,1.0,2.0
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,,0.0,0.0,1.0,0.0,29.0
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,,,,,,18.0
SYNTHETIC_USFL_2023_W10_STALLIONS,,2023,10,USFL,,,,,0.0,0.0,0.0,0.0,34.0
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,24.0,1.0,,84.0
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,,,38.0
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,1.0,,0.0,13.0,2.0,1.0,31.0
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,,0.0,26.0,2.0,1.0,14.0
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,,0.0,39.0,2.0,1.0,37.0
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,0.0,22.0,2.0,0.0,57.0
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,,0.0,7.0,1.0,2.0,25.0
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,,0.0,4.0,1.0,1.0,29.0
SYNTHETIC_UFL_2024_W7_STALLIONS,,2024,7,UFL,,,,,,,,0.0,42.0
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,,,0.0,11.0,2.0,0.0,63.0
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,,0.0,0.0,0.0,0.0,-1.0
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,,1.0,17.0,2.0,0.0,7.0
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,,0.0,4.0,1.0,0.0,102.0
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,,1.0,0.0,3.0,1.0,0.0,29.0
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,,0.0,-1.0,1.0,1.0,53.0
SYNTHETIC_UFL_2025_W3_STALLIONS,,2025,3,UFL,,,,,,,,0.0,14.0
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,,0.0,0.0,0.0,0.0,41.0
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,,0.0,10.0,2.0,1.0,32.0
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,0.0,23.0,3.0,1.0,60.0
SYNTHETIC_UFL_2025_W8_STALLIONS,,2025,8,UFL,,,,,0.0,0.0,0.0,0.0,39.0
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,,,0.0,0.0,0.0,2.0,42.0
