game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,,7.0,1.0,
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,27.0,1.0,
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,2.0,108.0,4.0,5.0
SWKANSAS-OREGON-0412,2025-04-12,2025,5,AF1,SW KANSAS,SALINA,,54.0,4.0,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,2.0,49.0,4.0,
SWKANSAS-NASHVILLE-0426,2025-04-26,2025,7,AF1,NASHVILLE,SW KANSAS,1.0,58.0,6.0,18.0
SWKANSAS-BILLINGS-0503,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,-1.0,1.0,-2.0
