game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,,,2.0,1.0,,25.0,79.0,2.0,366.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,10.0,,,1.0,,,4.0,45.0,1.0,129.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,11.0,270.0,23.0,,,150.0,99.0,3.0,399.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,7.0,,,10.0,1.0,,90.0,146.0,5.0,588.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,1.0,22.0,25.0,2.0,,92.0,121.0,6.0,626.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,,,4.0,,4.0,48.0,13.0,,44.0
