game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_lg,rush_td,rush_yds,sacks,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,2.0,2.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,1.0,1.0,,,,,,,1.0,1.0,1.0,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,1.0,1.0,,,,,,,,,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,0.0,,,,,,,,,0.0,,,,1.0
