game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,kr_no,kr_yds,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,18.0,11.0,4.0,46.0,4.0,4.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,17.0,12.0,,,,,5.0,195.0
