game_id,date,season,week,league,away,home,blocked_punt,fumble_recoveries,interceptions_made,points_against,sacks,safety
SYNTHETIC_USFL_W1_PHI,,,1,USFL,,,,0.0,1.0,23.0,0.0,
SYNTHETIC_USFL_W2_PHI,,,2,USFL,,,,0.0,2.0,23.0,3.0,
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,0.0,0.0,24.0,3.0,
SYNTHETIC_USFL_W4_PHI,,,4,USFL,,,,0.0,3.0,25.0,2.0,
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,,1.0,1.0,30.0,4.0,
SYNTHETIC_USFL_W6_PHI,,,6,USFL,,,,1.0,1.0,28.0,3.0,
SYNTHETIC_USFL_W7_PHI,,,7,USFL,,,1.0,2.0,1.0,24.0,6.0,1.0
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,,1.0,2.0,24.0,0.0,
SYNTHETIC_USFL_W9_PHI,,,9,USFL,,,,2.0,2.0,16.0,2.0,
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,,0.0,0.0,26.0,2.0,
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,,0.0,2.0,14.0,2.0,
