game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,,,,,,,,,,,2.0,22.0,27.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,26.0,52.0,1.0,79.0,,,,,,17.0,33.0,0.0,0.0,52.0,3.0,8.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,,,,,,,,,,,1.0,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,0.0,,,,,,,,,2.0,,,,,,28.0,17.0,24.0,3.0,161.0,,,,,,,3.0,7.0,10.0,,2.0,30.0,,,1.0,1.0
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,,,,,,,1.0,0.0,1.0,,,,,,10.0,7.0,30.0,2.0,103.0,,,,,,,2.4,15.0,10.0,,0.0,24.0,,,,
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,,,,,,,,1.0,1.0,1.0,,,,,,21.0,5.0,24.0,1.0,66.0,,,,,,,3.5,7.0,4.0,,0.0,14.0,,,,
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,1.0,,,,,,,,,0.0,,,,,,7.0,3.0,10.0,0.0,19.0,,,,,,,3.3,22.0,6.0,,1.0,20.0,,,0.0,1.0
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,1.0,0.0,1.0,,,,,,2.0,1.0,8.0,0.0,8.0,,,,,,,1.8,7.0,4.0,,0.0,7.0,,,,
