game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,2.0,14.0,9.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,13.0,10.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,5.0,3.0
