game_id,date,season,week,league,away,home,assist_tackles,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,1.0,,,,,,1.0,2.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,1.0,78.0,1.0,78.0,1.0,,,1.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,2.0,,,,,,2.0,4.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,1.0,,,
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,,3.0,3.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,0.0,0.0,,0.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,0.0,0.0,,2.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,0.0,0.0,,3.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,0.0,0.0,,2.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,0.0,0.0,,2.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,,0.0,0.0,,2.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,0.0,0.0,,3.0
