game_id,date,season,week,league,away,home,receiving_yards,receptions,rushing_yards
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,16.0,2.0,34.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,1.0
