game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,30.0,21.0,2.0,,19.0,2.0,4.0,338.0,2.0,12.0,,16.0,,,
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,34.0,23.0,1.0,43.0,,,3.0,342.0,1.0,14.0,,14.0,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,48.0,25.0,2.0,27.0,,,,243.0,1.0,13.0,,13.0,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,19.0,14.0,,44.0,,,3.0,259.0,1.0,9.0,,9.0,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,41.0,28.0,3.0,22.0,,,1.0,315.0,1.0,,1.0,12.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,,,36.0,25.0,1.0,76.0,11.0,3.0,,344.0,2.0,,1.0,12.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,29.0,19.0,1.0,,7.0,1.0,3.0,332.0,7.0,20.0,,59.0,,,
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,41.0,31.0,1.0,37.0,10.0,2.0,1.0,369.0,2.0,5.0,,6.0,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,28.0,20.0,1.0,23.0,4.0,2.0,,184.0,3.0,15.0,,24.0,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,38.0,26.0,1.0,50.0,42.0,5.0,1.0,352.0,2.0,8.0,,10.0,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,1.0,1.0,43.0,23.0,1.0,30.0,11.0,2.0,,333.0,5.0,20.0,,60.0,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,27.0,17.0,,37.0,30.0,4.0,1.0,251.0,7.0,36.0,,80.0,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,44.0,27.0,2.0,84.0,5.0,1.0,1.0,419.0,5.0,8.0,,27.0,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,26.0,17.0,2.0,48.0,11.0,2.0,2.0,300.0,5.0,13.0,1.0,36.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_15_CGY@HAM,2018-09-15,2018,1,CFL,CGY,HAM,,,37.0,23.0,2.0,19.0,14.0,4.0,,210.0,3.0,3.0,,4.0,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,25.0,19.0,,,26.0,4.0,2.0,311.0,5.0,18.0,,37.0,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,26.0,18.0,,38.0,2.0,1.0,3.0,189.0,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,35.0,26.0,1.0,,,,3.0,385.0,5.0,9.0,,22.0,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,25.0,18.0,,,11.0,1.0,4.0,307.0,8.0,22.0,,51.0,,,
