game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,3.0,7.0,32.0,10.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,5.0,22.0,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,5.0,42.0,12.0,1.0,10.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,5.0,23.0,11.0,,
