game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,,3.0,1.0,52.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,4.0,2.0,55.0,1.0,,3.0
