game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_tar,sacks,tackles
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,1.0,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,0.0,9.0,1.0,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,0.0,0.0,0.0,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,0.0,5.0,1.0,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,0.0,31.0,2.0,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,0.0,0.0,0.0,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,0.0,,,,,0.0,0.0
10798017,2024-06-07,2024,1,CFL,HAM,CGY,0.0,,,,,0.0,1.0
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,0.0,31.0,2.0,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,0.0,0.0,0.0,,,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,0.0,12.0,1.0,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,0.0,9.0,1.0,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,0.0,17.0,3.0,,,
11824094,2025-09-01,2025,13,CFL,EDM,CGY,,0.0,0.0,0.0,,,
11824123,2025-10-24,2025,21,CFL,CGY,EDM,,0.0,8.0,1.0,,,
