game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,10.0,117.0,53.0,17.0,1.0,275.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,9.0,4.0,20.0,5.0,9.0,,5.0
