game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,0.5,14.0,8.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,21.0,10.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.5,10.0,11.0
