game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,4.0,7.0,1.0,10.0,1.0,3.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,9.0,11.0,210.0,,
