game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_made,made_19,missed,sacks,tackles
SYNTHETIC_CFL_W1_MTL,,,1,CFL,,,,49.0,,2.0,1.0,,
SYNTHETIC_CFL_W2_MTL,,,2,CFL,,,,119.0,,,1.0,,
SYNTHETIC_CFL_W3_MTL,,,3,CFL,,,,132.0,,,0.0,,
SYNTHETIC_CFL_W4_MTL,,,4,CFL,,,,56.0,,,0.0,,
SYNTHETIC_CFL_W6_MTL,,,6,CFL,,,,19.0,,,0.0,,
SYNTHETIC_CFL_W7_MTL,,,7,CFL,,,,49.0,,,0.0,,
SYNTHETIC_CFL_W8_MTL,,,8,CFL,,,,77.0,,,1.0,,
SYNTHETIC_CFL_W9_MTL,,,9,CFL,,,,73.0,,,1.0,,
SYNTHETIC_CFL_W10_MTL,,,10,CFL,,,,86.0,,,1.0,,
SYNTHETIC_CFL_W11_MTL,,,11,CFL,,,,74.0,,,0.0,,
SYNTHETIC_CFL_W13_MTL,,,13,CFL,,,,103.0,,,0.0,,
SYNTHETIC_CFL_W14_MTL,,,14,CFL,,,,64.0,,,0.0,,
SYNTHETIC_CFL_W16_MTL,,,16,CFL,,,,104.0,,,0.0,,
SYNTHETIC_CFL_W17_MTL,,,17,CFL,,,,52.0,,,2.0,,
SYNTHETIC_CFL_W19_MTL,,,19,CFL,,,,68.0,,,0.0,,
SYNTHETIC_CFL_W20_MTL,,,20,CFL,,,,115.0,,,0.0,,
SYNTHETIC_CFL_2023_W1_MTL,,2023,1,CFL,,,1.0,171.0,,,,,
SYNTHETIC_CFL_2023_W3_MTL,,2023,3,CFL,,,5.0,14.0,,,,,
SYNTHETIC_CFL_2023_W4_MTL,,2023,4,CFL,,,,27.0,,,1.0,,
SYNTHETIC_CFL_2023_W5_MTL,,2023,5,CFL,,,1.0,149.0,,,,,
SYNTHETIC_CFL_2023_W6_MTL,,2023,6,CFL,,,2.0,74.0,,,,,
SYNTHETIC_CFL_2023_W8_MTL,,2023,8,CFL,,,,205.0,,,1.0,,
SYNTHETIC_CFL_2023_W9_MTL,,2023,9,CFL,,,1.0,138.0,,,,,
SYNTHETIC_CFL_2023_W10_MTL,,2023,10,CFL,,,5.0,70.0,,,,,
SYNTHETIC_CFL_2023_W11_MTL,,2023,11,CFL,,,2.0,60.0,,,,,
SYNTHETIC_CFL_2023_W12_MTL,,2023,12,CFL,,,2.0,42.0,,,,,
SYNTHETIC_CFL_2023_W13_MTL,,2023,13,CFL,,,,121.0,0.0,,1.0,0.0,0.0
SYNTHETIC_CFL_2023_W14_MTL,,2023,14,CFL,,,1.0,10.0,,,,,
SYNTHETIC_CFL_2023_W15_MTL,,2023,15,CFL,,,2.0,49.0,,,2.0,,
SYNTHETIC_CFL_2023_W16_MTL,,2023,16,CFL,,,3.0,80.0,,,,,
SYNTHETIC_CFL_2023_W17_MTL,,2023,17,CFL,,,4.0,48.0,,,3.0,,
SYNTHETIC_CFL_2023_W21_MTL,,2023,21,CFL,,,,59.0,,,2.0,,
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,2.0,41.0,,,,,
SYNTHETIC_CFL_2024_W2_MTL,,2024,2,CFL,,,2.0,53.0,,,,,
SYNTHETIC_CFL_2024_W3_MTL,,2024,3,CFL,,,5.0,125.0,,,,,
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,3.0,69.0,,,,,
