game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,1.0,,,,33.0,3.0,73.0,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,14.0,3.0,4.0,1.0,20.0,29.0,,,,1.0,19.0,,19.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,1.0,1.0,6.0,1.0,3.0,,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,21.0,2.0,4.0,,10.0,22.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,13.0,1.0,1.0,,12.0,13.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,13.0,2.0,3.0,,17.0,19.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,6.0,1.0,3.0,,2.0,6.0,13.0,1.0,13.0,,,,,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,16.0,2.0,3.0,,4.0,26.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,11.0,2.0,3.0,,5.0,18.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,7.0,9.0,1.0,52.0,81.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,23.0,6.0,7.0,,38.0,59.0,20.0,1.0,20.0,,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,18.0,6.0,8.0,,9.0,67.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,1.0,1.0,,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,33.0,5.0,5.0,,48.0,97.0,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,26.0,3.0,8.0,,27.0,46.0,13.0,1.0,13.0,,,,,,,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,2.0,5.0,1.0,1.0,25.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,16.0,4.0,6.0,,25.0,38.0,,,,2.0,14.0,,19.0,,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,17.0,4.0,6.0,,6.0,46.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,57.0,3.0,3.0,1.0,23.0,81.0,,,,1.0,10.0,,10.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,1.0,1.0,6.0,3.0,5.0,,1.0,16.0,,,,,,,,,,,,
