game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,5.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,4.0,8.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,3.0,9.0,,
