game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,qb_hits,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,11.0,0.0,0.0,15.0,2.0,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,,,,,,,2.0,17.0,19.0,0.0,34.0,,9.0,9.0,0.0,1.0,27.0,3.0,5.0,5.0,1.0,0.0,0.0,5.0,,,,,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,,,,,,,3.0,13.0,16.0,0.0,39.0,,7.0,12.0,0.0,0.0,22.0,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,,,,,,,,,,,,,,19.0,0.0,0.0,0.0,37.0,2.0,8.0,0.0,2.0,0.0,0.0,15.0,,,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,3.0,1.0,4.0
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,,,,,,,,,,,,,13.0,37.0,0.0,1.0,64.0,5.0,-2.0,0.0,1.0,0.0,0.0,-2.0,,,,,,
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,12.0,23.0,0.0,1.0,59.0,5.0,4.0,9.0,9.0,0.0,1.0,32.0,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,8.0,15.0,0.0,1.0,23.0,3.0,6.0,33.0,8.0,1.0,0.0,51.0,,,,,,
FOOTBALL_IFL_2026_5_31_TQUADCITYSTEAMWHEELERSG20260531JQPF@TVEGASKNIGHTHAWKS,2026-05-31,2026,12,IFL,Quad City Steamwheelers,Vegas Knight Hawks,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_6_28_TORLANDOPIRATESG20260628EGZ4@TQUADCITYSTEAMWHEELERS,2026-06-28,2026,16,IFL,Orlando Pirates,Quad City Steamwheelers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
