game_id,date,season,week,league,away,home,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,16.0,10.0,2.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,6.0,9.0,,
