game_id,date,season,week,league,away,home,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,field_goal_yards,missed
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,1.0,,1.0,,
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,,,1.0,1.0,,
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,1.0,,1.0,1.0,3.0,,
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,1.0,1.0,1.0,,3.0,,
SYNTHETIC_XFL_2023_W2_DEFENDERS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,,,,47.0,0.0
SYNTHETIC_XFL_2023_W3_DEFENDERS,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,,,76.0,0.0
SYNTHETIC_XFL_2023_W4_DEFENDERS,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,,,,104.0,1.0
SYNTHETIC_XFL_2023_W6_DEFENDERS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,,,,,,116.0,1.0
SYNTHETIC_XFL_2023_W7_DEFENDERS,2023-04-01,2023,7,XFL,GUARDIANS,DEFENDERS,,,,,,,2.0
SYNTHETIC_XFL_2023_W10_DEFENDERS,2023-04-22,2023,10,XFL,BRAHMAS,DEFENDERS,,,,,,70.0,0.0
SYNTHETIC_UFL_2024_W1_DEFENDERS,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,,,,160.0,
SYNTHETIC_UFL_2024_W2_DEFENDERS,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,,,,43.0,
SYNTHETIC_UFL_2024_W3_DEFENDERS,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,,,,161.0,
SYNTHETIC_UFL_2024_W4_DEFENDERS,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,,,62.0,
SYNTHETIC_UFL_2024_W5_DEFENDERS,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,,,,,,1.0
SYNTHETIC_UFL_2024_W6_DEFENDERS,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,,,,112.0,1.0
SYNTHETIC_UFL_2024_W7_DEFENDERS,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,,,,37.0,1.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,,,,,,97.0,
SYNTHETIC_UFL_2024_W10_DEFENDERS,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,,,,,44.0,1.0
SYNTHETIC_UFL_2025_W1_DEFENDERS,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,,,150.0,
SYNTHETIC_UFL_2025_W2_DEFENDERS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,,,98.0,1.0
SYNTHETIC_UFL_2025_W3_DEFENDERS,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,,122.0,1.0
SYNTHETIC_UFL_2025_W4_DEFENDERS,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,,67.0,
SYNTHETIC_UFL_2025_W5_DEFENDERS,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,,,,20.0,1.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,,,35.0,1.0
SYNTHETIC_UFL_2025_W10_DEFENDERS,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,,,2.0
