game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,goals,goals_minus_xg,goals_plus_assists,key_passes,match_played,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2017-KPqjwN4Q6v,,2017,1,USLC,,,1.0,-0.8117,23.4635,9.1903,,,,,,,,,,,,,,,2.0,0.8738,3.0,37.0,,2796.0,0.7156,1702.0,0.2319,0.0136,1.5595,21.0,4.0,1.8117,1.1262,0.0719,2.9379,0.7155,0.7093
cricket-odi-2019-04-27-1174844,2019-04-27,2019,1,ODI,Papua New Guinea,United States of America,,,,,10.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-09-13-1199225,2019-09-13,2019,1,ODI,United States of America,Papua New Guinea,,,,,117.0,3.0,0.0,5.0,77.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-09-17-1199226,2019-09-17,2019,1,ODI,United States of America,Namibia,,,,,14.0,1.0,0.0,5.0,8.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-09-19-1199227,2019-09-19,2019,1,ODI,United States of America,Papua New Guinea,,,,,21.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-12-08-1206059,2019-12-08,2019,1,ODI,United Arab Emirates,United States of America,,,,,114.0,8.0,0.0,4.0,95.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-12-09-1206060,2019-12-09,2019,1,ODI,Scotland,United States of America,,,,,102.0,5.0,0.0,4.0,74.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-12-12-1206062,2019-12-12,2019,1,ODI,United Arab Emirates,United States of America,,,,,61.0,3.0,0.0,4.0,46.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2019-12-14-1206063,2019-12-14,2019,1,ODI,Scotland,United States of America,,,,,6.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-03-15-1177484,2019-03-15,2019,1,T20I,United Arab Emirates,United States of America,,,,,1.0,0.0,1.0,7.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-03-16-1177485,2019-03-16,2019,1,T20I,United Arab Emirates,United States of America,,,,,1.0,0.0,1.0,8.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-18-1197396,2019-08-18,2019,1,T20I,Bermuda,United States of America,,,,,29.0,2.0,0.0,5.0,39.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-19-1197399,2019-08-19,2019,1,T20I,Cayman Islands,United States of America,,,,,17.0,0.0,1.0,5.0,16.0,0.0,12.0,0.0,0.0,6.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-21-1197401,2019-08-21,2019,1,T20I,Canada,United States of America,,,,,16.0,1.0,0.0,4.0,12.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-22-1197403,2019-08-22,2019,1,T20I,United States of America,Bermuda,,,,,5.0,0.0,0.0,5.0,4.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-24-1197404,2019-08-24,2019,1,T20I,Cayman Islands,United States of America,,,,,,,,,,,24.0,0.0,0.0,6.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2019-08-25-1197406,2019-08-25,2019,1,T20I,Canada,United States of America,,,,,12.0,0.0,0.0,5.0,8.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2020-02-06-1215123,2020-02-06,2020,1,ODI,Oman,United States of America,,,,,29.0,1.0,0.0,2.0,12.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2020-02-08-1215124,2020-02-08,2020,1,ODI,Nepal,United States of America,,,,,9.0,1.0,0.0,2.0,5.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2020-02-11-1215126,2020-02-11,2020,1,ODI,Oman,United States of America,,,,,79.0,3.0,1.0,5.0,47.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2020-02-12-1215127,2020-02-12,2020,1,ODI,Nepal,United States of America,,,,,8.0,1.0,0.0,4.0,4.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2021-09-09-1276294,2021-09-09,2021,1,ODI,United States of America,Papua New Guinea,,,,,33.0,1.0,0.0,5.0,22.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2021-11-07-1286667,2021-11-07,2021,1,T20I,Belize,United States of America,,,,,,,,,,,6.0,0.0,0.0,5.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2021-11-08-1286673,2021-11-08,2021,1,T20I,United States of America,Bermuda,,,,,33.0,2.0,0.0,4.0,50.0,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2021-11-10-1286674,2021-11-10,2021,1,T20I,Canada,United States of America,,,,,10.0,0.0,0.0,4.0,6.0,0.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2021-11-11-1286681,2021-11-11,2021,1,T20I,Argentina,United States of America,,,,,20.0,1.0,1.0,4.0,17.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2021-11-13-1286682,2021-11-13,2021,1,T20I,Bahamas,United States of America,,,,,41.0,4.0,1.0,2.0,43.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-05-28-1312798,2022-05-28,2022,1,ODI,United States of America,Scotland,,,,,61.0,0.0,0.0,4.0,35.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-05-29-1312799,2022-05-29,2022,1,ODI,Scotland,United States of America,,,,,62.0,2.0,0.0,4.0,38.0,0.0,18.0,0.0,0.0,28.0,0.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-01-1312801,2022-06-01,2022,1,ODI,United Arab Emirates,United States of America,,,,,19.0,2.0,0.0,4.0,15.0,0.0,30.0,0.0,0.0,20.0,0.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-04-1312803,2022-06-04,2022,1,ODI,United States of America,United Arab Emirates,,,,,112.0,8.0,0.0,3.0,87.0,3.0,24.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-08-1312804,2022-06-08,2022,1,ODI,United States of America,Oman,,,,,8.0,0.0,0.0,4.0,3.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-11-1312806,2022-06-11,2022,1,ODI,Nepal,United States of America,,,,,27.0,1.0,0.0,4.0,26.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-12-1312807,2022-06-12,2022,1,ODI,Oman,United States of America,,,,,112.0,10.0,0.0,4.0,97.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-06-15-1312809,2022-06-15,2022,1,ODI,United States of America,Nepal,,,,,60.0,3.0,0.0,4.0,43.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-08-11-1322037,2022-08-11,2022,1,ODI,United Arab Emirates,United States of America,,,,,67.0,4.0,0.0,4.0,51.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-08-13-1322038,2022-08-13,2022,1,ODI,United States of America,Scotland,,,,,87.0,9.0,1.0,4.0,123.0,6.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-08-17-1322041,2022-08-17,2022,1,ODI,Scotland,United States of America,,,,,87.0,1.0,0.0,4.0,62.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-09-11-1331365,2022-09-11,2022,1,ODI,United States of America,Papua New Guinea,,,,,4.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-09-13-1331366,2022-09-13,2022,1,ODI,Papua New Guinea,United States of America,,,,,37.0,3.0,0.0,4.0,24.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-09-15-1331367,2022-09-15,2022,1,ODI,Namibia,United States of America,,,,,76.0,6.0,0.0,4.0,45.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-09-17-1331368,2022-09-17,2022,1,ODI,Namibia,United States of America,,,,,6.0,0.0,0.0,4.0,0.0,0.0,60.0,0.0,0.0,46.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-11-20-1341970,2022-11-20,2022,1,ODI,United States of America,Namibia,,,,,59.0,2.0,0.0,4.0,35.0,0.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-11-22-1341971,2022-11-22,2022,1,ODI,Papua New Guinea,United States of America,,,,,30.0,0.0,1.0,4.0,20.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-11-25-1341973,2022-11-25,2022,1,ODI,United States of America,Papua New Guinea,,,,,58.0,1.0,0.0,4.0,53.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2022-11-26-1341974,2022-11-26,2022,1,ODI,United States of America,Namibia,,,,,23.0,0.0,0.0,5.0,12.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2022-07-11-1321466,2022-07-11,2022,1,T20I,Jersey,United States of America,,,,,30.0,2.0,0.0,3.0,38.0,1.0,12.0,0.0,0.0,15.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2022-07-12-1321470,2022-07-12,2022,1,T20I,United States of America,Singapore,,,,,10.0,1.0,0.0,3.0,10.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2022-07-14-1321475,2022-07-14,2022,1,T20I,Zimbabwe,United States of America,,,,,10.0,1.0,0.0,3.0,7.0,0.0,12.0,0.0,0.0,37.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2022-07-15-1321480,2022-07-15,2022,1,T20I,United States of America,Netherlands,,,,,19.0,1.0,0.0,3.0,15.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2022-07-17-1321483,2022-07-17,2022,1,T20I,Papua New Guinea,United States of America,,,,,12.0,1.0,0.0,2.0,8.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2023-01-23-1351072,2023-01-23,2023,1,BPL,Rangpur Riders,Chattogram Challengers,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2023-02-04-1351087,2023-02-04,2023,1,BPL,Sylhet Strikers,Rangpur Riders,,,,,,,,,,,6.0,0.0,0.0,15.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2023-07-23-1381372,2023-07-23,2023,1,MLC,Seattle Orcas,Los Angeles Knight Riders,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-03-26-1365092,2023-03-26,2023,1,ODI,United States of America,Namibia,,,,,52.0,1.0,0.0,4.0,36.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-03-29-1365095,2023-03-29,2023,1,ODI,Canada,United States of America,,,,,27.0,2.0,0.0,4.0,16.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-03-30-1365098,2023-03-30,2023,1,ODI,United Arab Emirates,United States of America,,,,,9.0,0.0,0.0,5.0,5.0,0.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
