game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_fd,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,,,,,,,,4.0,,6.0,20.0,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,,,5.0,6.0,1.0,27.0,39.0,,,,11.0,,36.0,69.0,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,,,,,,,,,,,,8.0,,9.0,25.0,,,,,
FOOTBALL_CFL_2019_8_29_DET@CLE,2019-08-29,2019,1,CFL,DET,CLE,,,,,,,,5.0,2.0,2.0,,3.0,7.0,,,,7.0,,7.0,19.0,,,,,
FOOTBALL_CFL_2019_8_8_WAS@CLE,2019-08-08,2019,1,CFL,WAS,CLE,,,,,,,,,,,,,,,,,3.0,1.0,4.0,5.0,,,,,
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,,,,,,,,,,14.0,2.0,15.0,3.0,,8.0,14.0,,,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,3.0,,7.0,6.0,,,,,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,,,,,,,,,,,,,,,,,14.0,,30.0,107.0,,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,,,,,,,,,,,13.0,2.0,19.0,4.0,,3.0,8.0,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,,,,,,,,,,,,,,2.0,,9.0,12.0,,,,,
