game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,8.0,8.0,0.0,1.0,15.0,2.0,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,,,,,,,,,,,,,,,17.0,18.0,0.0,1.0,34.0,2.0,,,,,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,,,,,,,,,1.0,-1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,,,,,,,,1.0,0.0,1.0,16.0,16.0,0.0,16.0,12.5,14.0,,0.0,25.0,2.0,3.1,10.0,15.0,3.0,46.0,,,
FOOTBALL_IFL_2026_4_12_TJACKSONVILLESHARKSG20260412GKF3@TVEGASKNIGHTHAWKS,2026-04-12,2026,5,IFL,Jacksonville Sharks,Vegas Knight Hawks,,,,,,,,,,2.0,8.5,12.0,0.0,17.0,10.1,19.0,,0.0,81.0,8.0,3.4,10.0,11.0,2.0,37.0,,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,3.0,26.0,41.0,0.0,78.0,14.0,25.0,,1.0,28.0,2.0,4.6,27.0,13.0,3.0,60.0,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,,,,,,,,,,3.0,17.0,19.0,0.0,51.0,12.7,25.0,,0.0,89.0,7.0,1.9,8.0,9.0,1.0,17.0,,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,2.0,16.5,18.0,0.0,33.0,8.0,11.0,,0.0,16.0,2.0,1.6,4.0,9.0,1.0,14.0,,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,,,,,,,,2.0,12.0,20.0,0.0,24.0,7.0,9.0,,0.0,35.0,5.0,2.5,7.0,8.0,0.0,20.0,,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,,,,,,,,,,,6.7,11.0,,0.0,40.0,6.0,3.5,9.0,8.0,1.0,28.0,,,
