game_id,date,season,week,league,away,home,fg_att,fg_made,gp,pass_att,pat_att,pat_made,recv_rec,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,3.0,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,6.0,11.0,1.0,26.0,17.0,2.0,26.0
