game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2022_W1_PHI,,2022,1,USFL,,,0.0,0.0,1.0
SYNTHETIC_USFL_2022_W2_PHI,,2022,2,USFL,,,0.0,4.0,1.0
SYNTHETIC_USFL_2022_W4_PHI,,2022,4,USFL,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W6_PHI,,2022,6,USFL,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W8_PHI,,2022,8,USFL,,,1.0,51.0,1.0
SYNTHETIC_USFL_2022_W9_PHI,,2022,9,USFL,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W10_PHI,,2022,10,USFL,,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W1_STARS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,0.0,10.0,1.0
SYNTHETIC_USFL_2023_W5_STARS,2023-05-14,2023,5,USFL,STARS,GENERALS,0.0,30.0,3.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,0.0,16.0,2.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,0.0,7.0,1.0
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,0.0,5.0,1.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,0.0,23.0,2.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,0.0,33.0,2.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,0.0,0.0,0.0
