game_id,date,season,week,league,away,home,gp,punt_no,punt_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,4.0,103.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,6.0,2.0,84.0
