game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,1.0,6.0,,45.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,15.0,2.0,202.0
