game_id,date,season,week,league,away,home,def_fr,def_pd,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,4.0,17.0,10.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,3.0,19.0,11.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,32.0,12.0
