game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,interceptions_made,lb,penalty_minutes,pim,points,pp_assists,pp_goals,receiving_tds,receiving_yards,receptions,sacks,sog,tackles,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,35.0,,,13.0,25.0,,,4.0,,60.0,,,,,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,85.0,,,18.0,34.0,,,13.0,,119.0,,,,,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,33.0,,,6.0,6.0,,,2.0,,39.0,8.0,2.0,,,,,,,
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,,,0.0,,,,,,,,,,0.0,,2.0,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,,,,,,,,,,,0.0,4.0,1.0,,,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,6.0,6.0,6.0,,1.0,,6.0,,6.0,,,,,,,,6.0,,6.0
