game_id,date,season,week,league,away,home,4pt_fg,extra_point,field_goal_yards,missed
87,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,1.0,57.0,
92,2026-04-04,2026,2,UFL,LOUISVILLE KINGS,ORLANDO STORM,,,115.0,
95,2026-04-10,2026,3,UFL,ORLANDO STORM,LOUISVILLE KINGS,,3.0,78.0,
99,2026-04-16,2026,4,UFL,LOUISVILLE KINGS,HOUSTON GAMBLERS,,1.0,238.0,1.0
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,5.0,57.0,
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,,40.0,1.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,3.0,147.0,1.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,1.0,2.0,162.0,
121,2026-05-24,2026,9,UFL,DALLAS RENEGADES,LOUISVILLE KINGS,,2.0,134.0,
