game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,0.0,2.0,252.0,,
SYNTHETIC_CFL_2022_W2_CGY,,2022,2,CFL,,,0.0,1.0,186.0,,
SYNTHETIC_CFL_2022_W3_CGY,,2022,3,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W4_CGY,,2022,4,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,0.0,0.0,0.0,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,1.0,2.0,315.0,,
SYNTHETIC_CFL_2022_W7_CGY,,2022,7,CFL,,,2.0,4.0,450.0,,
6240,2022-07-30,2022,8,CFL,WPG,CGY,3.0,0.0,256.0,,
6243,2022-08-05,2022,9,CFL,CGY,OTT,0.0,0.0,0.0,,
6248,2022-08-13,2022,10,CFL,BC,CGY,0.0,0.0,0.0,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,0.0,0.0,0.0,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,0.0,0.0,0.0,,
6261,2022-09-05,2022,13,CFL,EDM,CGY,1.0,0.0,315.0,,
6265,2022-09-10,2022,14,CFL,CGY,EDM,0.0,2.0,210.0,,
6268,2022-09-17,2022,15,CFL,BC,CGY,0.0,0.0,0.0,,
6271,2022-09-24,2022,16,CFL,CGY,BC,2.0,1.0,271.0,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,0.0,0.0,239.0,,
SYNTHETIC_CFL_2022_W18_CGY,,2022,18,CFL,,,0.0,0.0,0.0,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,0.0,0.0,0.0,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,0.0,2.0,123.0,,
SYNTHETIC_CFL_2022_W21_CGY,,2022,21,CFL,,,0.0,1.0,119.0,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,1.0,1.0,166.0,,11.0
9889299,2023-07-07,2023,5,CFL,CGY,WPG,1.0,,127.0,,11.0
9889305,2023-07-15,2023,6,CFL,CGY,SSK,1.0,2.0,315.0,,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,2.0,4.0,450.0,,10.0
9889313,2023-07-30,2023,8,CFL,CGY,MTL,2.0,,256.0,,2.0
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,149.0,,8.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,1.0,,136.0,,13.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,1.0,,190.0,,8.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,4.0,387.0,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,1.0,,315.0,1.0,5.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,2.0,210.0,,16.0
9889344,2023-09-23,2023,16,CFL,MTL,CGY,2.0,1.0,271.0,,6.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,239.0,,
