game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,2.0,4.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,21.0,10.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,10.0,6.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,16.0,9.0
