game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,7.0,204.0,130.0,3.0,14.0,1679.0,,,51.0,6.0,211.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,12.0,312.0,218.0,5.0,35.0,2888.0,2.0,66.0,53.0,10.0,249.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,233.0,154.0,3.0,20.0,2176.0,,,38.0,6.0,120.0
