game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,1.0,1.0,,,,,,,,,2.0,5.0,1.0,7.0,53.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,21.0,3.0,4.0,,18.0,34.0,,,,,,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,1.0,1.0,27.0,27.0,,,,20.0,6.0,7.0,1.0,12.0,71.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,21.0,1.0,1.0,,,21.0,,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,,,,,,,,,,19.0,2.0,4.0,,7.0,36.0,,,,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,,,,,,2.0,2.0,1.0,1.0,14.0,,1.0,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,,,,,,2.0,3.0,1.0,2.0,28.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,,,,,16.0,2.0,2.0,1.0,3.0,22.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,,,,,,,1.0,1.0,1.0,,5.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,,,,,,,,16.0,1.0,2.0,,1.0,16.0,,,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,,,,,5.0,7.0,1.0,18.0,52.0,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,,,,,,,,19.0,3.0,5.0,,8.0,44.0,,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,,20.0,1.0,5.0,,5.0,20.0,,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,,,,,13.0,1.0,1.0,,1.0,13.0,,,,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,,,,,44.0,8.0,12.0,1.0,16.0,134.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,,,,21.0,3.0,5.0,,12.0,42.0,,,,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,,,,,,20.0,4.0,8.0,1.0,29.0,46.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,,,,,,,7.0,11.0,1.0,28.0,114.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,,,,,,,,3.0,,,,,,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,,,,,,30.0,4.0,7.0,1.0,2.0,71.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,,,,,,34.0,1.0,3.0,,4.0,34.0,,,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,,,,,,,16.0,2.0,3.0,,4.0,20.0,,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,,,,,,5.0,7.0,2.0,15.0,79.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,,,,,,12.0,6.0,9.0,,18.0,59.0,,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,,,,,29.0,4.0,4.0,1.0,17.0,60.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,,,,,,1.0,1.0,1.0,3.0,42.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,,,32.0,8.0,12.0,1.0,27.0,106.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,,,,,,,,18.0,5.0,7.0,,27.0,50.0,,,,,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,,,,,,27.0,2.0,7.0,,13.0,41.0,,,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,2.0,2.0,,,,,,,,49.0,6.0,9.0,1.0,42.0,117.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,,,,,,,,44.0,7.0,8.0,2.0,20.0,118.0,6.0,1.0,6.0,,2.0,12.0,2.0
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,,,,29.0,4.0,7.0,,13.0,55.0,,,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,,,,,8.0,1.0,2.0,,3.0,8.0,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,,,,,,9.0,2.0,2.0,,4.0,17.0,,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,,,,49.0,5.0,6.0,1.0,53.0,121.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,,,,21.0,4.0,5.0,,18.0,47.0,,,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,,,,17.0,5.0,9.0,1.0,18.0,60.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,,,,,,,2.0,,,,,,,,,,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,,,,25.0,2.0,4.0,,7.0,37.0,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,,,,10.0,1.0,2.0,,10.0,10.0,,,,,,,
