game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_SPIDERS,,2022,2,AUDL,,,1.0,0.0,,,,0.0,0.0,,,,,0.0,-8.0,5.0
SYNTHETIC_AUDL_2022_W3_SPIDERS,,2022,3,AUDL,,,0.0,0.0,,,,0.0,3.0,,,,,0.0,105.0,59.0
2022-06-17-SEA-OAK,2022-06-17,2022,4,,SEA,OAK,0.0,1.0,,,,0.0,0.0,,,,,1.0,-6.0,101.0
2022-06-25-OAK-SEA,2022-06-25,2022,5,,OAK,SEA,0.0,0.0,,,,0.0,1.0,,,,,1.0,9.0,145.0
2022-06-26-OAK-POR,2022-06-26,2022,5,,OAK,POR,2.0,0.0,,,,0.0,0.0,,,,,0.0,-54.0,139.0
2022-07-16-SLC-OAK,2022-07-16,2022,8,AUDL,shred,spiders,0.0,1.0,,,,0.0,0.0,,,,,1.0,-7.0,98.0
2022-07-23-LA-OAK,2022-07-23,2022,9,AUDL,aviators,spiders,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-29-OAK-LA,2022-07-29,2022,10,AUDL,spiders,aviators,0.0,1.0,,,,0.0,3.0,,,,,0.0,40.0,-3.0
2022-07-30-OAK-SD,2022-07-30,2022,10,AUDL,spiders,growlers,0.0,0.0,,,,0.0,0.0,,,,,0.0,15.0,53.0
2023-04-29-SEA-OAK,2023-04-29,2023,1,AUDL,SEATTLE CASCADES,OAKLAND SPIDERS,,1.0,,,3.0,,,1.0,,9.0,3.0,,,7.0
2023-05-20-OAK-SEA,2023-05-20,2023,4,AUDL,OAKLAND SPIDERS,SEATTLE CASCADES,,,,6.0,7.0,,1.0,1.0,,15.0,7.0,,-11.0,46.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,AUDL,OAKLAND SPIDERS,SALT LAKE SHRED,,1.0,,8.0,8.0,,,,,13.0,9.0,,95.0,41.0
2023-06-04-OAK-COL,2023-06-04,2023,6,AUDL,OAKLAND SPIDERS,COLORADO SUMMIT,1.0,,,,,,2.0,2.0,,,,1.0,,
2023-06-17-COL-OAK,2023-06-17,2023,8,AUDL,COLORADO SUMMIT,OAKLAND SPIDERS,,,,9.0,10.0,,1.0,1.0,,9.0,11.0,1.0,32.0,49.0
2023-07-08-POR-OAK,2023-07-08,2023,11,AUDL,PORTLAND NITRO,OAKLAND SPIDERS,1.0,2.0,1.0,11.0,15.0,,1.0,1.0,1.0,11.0,16.0,,-26.0,161.0
2023-07-15-LA-OAK,2023-07-15,2023,12,AUDL,LA AVIATORS,OAKLAND SPIDERS,,1.0,,6.0,8.0,,,1.0,,11.0,8.0,,-35.0,49.0
2023-07-21-OAK-LA,2023-07-21,2023,13,AUDL,OAKLAND SPIDERS,LA AVIATORS,1.0,1.0,,3.0,4.0,,,,,11.0,4.0,,10.0,3.0
