game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,,,,,,1.0,2.0,1.0,,17.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,5.0,3.0,5.0,,2.0,7.0,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,1.0,2.0,1.0,,8.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,,,15.0,2.0,2.0,,5.0,20.0,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,11.0,1.0,1.0,,1.0,11.0,,,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,,,,10.0,2.0,3.0,,,16.0,,,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,1.0,1.0,,,,,,,2.0,,,,,,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,,,,22.0,3.0,4.0,,4.0,32.0,,,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,,34.0,3.0,5.0,,6.0,46.0,,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,,17.0,1.0,2.0,,4.0,17.0,,,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,,18.0,3.0,5.0,,10.0,43.0,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,,12.0,4.0,6.0,,17.0,37.0,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,17.0,1.0,2.0,,17.0,17.0,,,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,14.0,3.0,4.0,,15.0,27.0,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,,,24.0,4.0,9.0,,6.0,58.0,,,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,,1.0,77.0,7.0,,,,,,,,,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,1.0,68.0,6.0,,,,,,,,,,,,,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,0.0,6.0,1.0,,,,,,,,,,,,,,
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,47.0,5.0,,,,,,,,,,0.0,,,,0.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,0.0,7.0,1.0,,,,,,,,,,,,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,0.0,0.0,6.0,1.0,,,,,,,,,,0.0,,,,1.0
