game_id,date,season,week,league,away,home,gp,kr_no,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,8.0,1.0,1.0,18.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,12.0,,,
