game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,4.0,4.0,,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,2.0,2.0,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,2.0,2.0,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,3.0,3.0,,,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,2.0,2.0,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,1.0,1.0,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,3.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,0.0,0.0,3.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,0.0,0.0,2.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,1.0,0.0,2.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,0.0,0.0,2.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,0.0,0.0,2.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,1.0,0.0,3.0
