game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,missed,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,1.0,90.0,8.0,,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,1.0,,,4.0,1.0,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,0.0,0.0,,,1.0,31.0,2.0,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,0.0,0.0,,,1.0,62.0,3.0,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,,35.0,3.0,,
SYNTHETIC_XFL_2023_W5_ROUGHNECKS,2023-03-16,2023,5,XFL,SEA DRAGONS,ROUGHNECKS,0.0,1.0,,,,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,1.0,122.0,4.0,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,1.0,21.0,3.0,,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,,1.0,8.0,2.0,,
SYNTHETIC_XFL_2023_W8_ROUGHNECKS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,,1.0,,,,,,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,5.0,1.0,,
SYNTHETIC_XFL_2023_W10_ROUGHNECKS,2023-04-23,2023,10,XFL,RENEGADES,ROUGHNECKS,,,,0.0,,,,,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,,,0.0,36.0,5.0,0.0,0.0
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,,,0.0,10.0,1.0,,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,,,0.0,21.0,2.0,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,,,1.0,58.0,4.0,,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,,0.0,21.0,2.0,0.0,0.0
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,1.0,,,0.0,26.0,5.0,,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,1.0,,,0.0,35.0,4.0,,
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,,,0.0,31.0,2.0,,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,,,,0.0,39.0,4.0,,
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,,,,1.0,29.0,4.0,,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,2.0,,,0.0,19.0,2.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,1.0,,,1.0,27.0,3.0,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,,0.0,26.0,4.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,,,0.0,9.0,1.0,,
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,,,1.0,78.0,3.0,,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,,,0.0,27.0,2.0,,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,,,0.0,45.0,4.0,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,0.0,64.0,6.0,,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,,,1.0,42.0,4.0,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,,,0.0,8.0,1.0,,
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,,,0.0,0.0,0.0,,
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,,,1.0,15.0,3.0,,
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,,,0.0,14.0,1.0,,
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,,,,0.0,21.0,3.0,,
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,,0.0,82.0,4.0,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,,,,0.0,20.0,3.0,,
