game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,6.0,1.0,,22.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,13.0,8.0,2.0,212.0
