game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_3_31_MEM@HOU,2024-03-31,2024,1,UFL,MEM,HOU,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_13_MEM@BHAM,2024-04-13,2024,3,UFL,MEM,BHAM,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_20_MEM@STL,2024-04-20,2024,4,UFL,MEM,STL,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_11_MEM@ARL,2024-05-11,2024,7,UFL,MEM,ARL,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_26_DC@MEM,2024-05-26,2024,9,UFL,DC,MEM,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,0.0,3.0,,1.0,0.0,,2.0,,
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,2.5,0.0,,1.0,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,,1.0,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,0.0,,,,,,,,,,,,,,3.0,1.0,,2.0,2.0,1.0,3.0
